1	31	2.5	2009-12
1	1029	3.0	2009-12
1	1061	3.0	2009-12
1	1129	2.0	2009-12
1	1172	4.0	2009-12
1	1263	2.0	2009-12
1	1287	2.0	2009-12
1	1293	2.0	2009-12
1	1339	3.5	2009-12
1	1343	2.0	2009-12
1	1371	2.5	2009-12
1	1405	1.0	2009-12
1	1953	4.0	2009-12
1	2105	4.0	2009-12
1	2150	3.0	2009-12
1	2193	2.0	2009-12
1	2294	2.0	2009-12
1	2455	2.5	2009-12
1	2968	1.0	2009-12
1	3671	3.0	2009-12
15	70293	3.5	2009-12
15	72998	4.0	2009-12
73	319	4.0	2009-12
73	457	4.0	2009-12
73	508	4.0	2009-12
73	1245	4.0	2009-12
73	1372	3.5	2009-12
73	2003	4.5	2009-12
73	2004	4.0	2009-12
73	2134	4.0	2009-12
73	2142	3.5	2009-12
73	2161	3.5	2009-12
73	2451	3.5	2009-12
73	2997	4.5	2009-12
73	3018	3.5	2009-12
73	3361	3.5	2009-12
73	3852	3.5	2009-12
73	6870	4.0	2009-12
73	7036	3.5	2009-12
73	7117	3.0	2009-12
73	7367	2.0	2009-12
73	45506	4.0	2009-12
73	49528	2.5	2009-12
73	54503	4.0	2009-12
73	55721	4.5	2009-12
73	58351	4.0	2009-12
73	68965	0.5	2009-12
73	69306	3.0	2009-12
73	71838	2.0	2009-12
73	72998	4.0	2009-12
199	72129	3.5	2009-12
212	44	2.0	2009-12
212	145	2.5	2009-12
212	172	2.0	2009-12
212	350	3.0	2009-12
212	435	1.5	2009-12
212	440	2.5	2009-12
212	1148	3.5	2009-12
212	1200	3.0	2009-12
212	1282	4.0	2009-12
212	1544	3.0	2009-12
212	1608	3.0	2009-12
212	2105	3.0	2009-12
212	2193	2.5	2009-12
212	2455	2.0	2009-12
212	2490	3.5	2009-12
212	2699	2.0	2009-12
212	3175	2.0	2009-12
212	3752	2.0	2009-12
212	4002	3.0	2009-12
212	4321	2.5	2009-12
212	4638	2.5	2009-12
212	4718	2.5	2009-12
212	5266	3.0	2009-12
212	5388	2.0	2009-12
212	5679	3.5	2009-12
212	5956	3.0	2009-12
212	6947	3.0	2009-12
212	8833	3.5	2009-12
212	8874	3.5	2009-12
212	30707	3.0	2009-12
212	30812	3.0	2009-12
212	36401	2.5	2009-12
212	52722	2.0	2009-12
212	53972	3.0	2009-12
212	53996	3.5	2009-12
212	68073	4.0	2009-12
212	68358	4.5	2009-12
212	69122	3.5	2009-12
212	69712	3.5	2009-12
212	69844	3.0	2009-12
212	70599	3.0	2009-12
212	72407	2.5	2009-12
212	72605	3.0	2009-12
212	72696	1.5	2009-12
380	72998	4.0	2009-12
427	68157	4.0	2009-12
427	68838	4.0	2009-12
427	72395	3.0	2009-12
427	72720	4.0	2009-12
547	26505	4.5	2009-12
547	55276	5.0	2009-12
547	65465	2.0	2009-12
547	66934	3.0	2009-12
547	68901	3.5	2009-12
547	69122	3.5	2009-12
547	70293	4.0	2009-12
547	72131	4.0	2009-12
581	493	4.5	2009-12
581	502	4.0	2009-12
581	552	3.0	2009-12
581	750	0.5	2009-12
581	785	0.5	2009-12
581	924	0.5	2009-12
581	1126	3.0	2009-12
581	1194	5.0	2009-12
581	1203	4.0	2009-12
581	1311	0.5	2009-12
581	1642	0.5	2009-12
581	1918	4.0	2009-12
581	2078	4.0	2009-12
581	2191	0.5	2009-12
581	2412	3.5	2009-12
581	2478	3.5	2009-12
581	2522	0.5	2009-12
581	2720	2.5	2009-12
581	2892	0.5	2009-12
581	3256	4.5	2009-12
581	3307	0.5	2009-12
581	3590	0.5	2009-12
581	3617	3.0	2009-12
581	3721	0.5	2009-12
581	3883	0.5	2009-12
581	4445	0.5	2009-12
581	4753	0.5	2009-12
581	4973	0.5	2009-12
581	5117	0.5	2009-12
581	5278	0.5	2009-12
581	5413	0.5	2009-12
581	5832	0.5	2009-12
581	5864	0.5	2009-12
581	7204	0.5	2009-12
581	7283	0.5	2009-12
581	7312	0.5	2009-12
581	8935	0.5	2009-12
581	26700	0.5	2009-12
581	27032	0.5	2009-12
581	27478	0.5	2009-12
581	31374	0.5	2009-12
581	32153	0.5	2009-12
581	33615	4.0	2009-12
581	46574	0.5	2009-12
581	53125	2.0	2009-12
581	54768	0.5	2009-12
581	61465	0.5	2009-12
581	65802	0.5	2009-12
581	66246	0.5	2009-12
624	5356	0.5	2009-12
624	6514	0.5	2009-12
624	8136	0.5	2009-12
624	27478	3.5	2009-12
624	33830	2.0	2009-12
624	41566	3.5	2009-12
624	45431	3.0	2009-12
624	55830	3.0	2009-12
624	57669	4.0	2009-12
624	58025	1.5	2009-12
624	59900	2.0	2009-12
624	60756	3.0	2009-12
624	62999	3.5	2009-12
624	63131	3.0	2009-12
624	64969	3.5	2009-12
